Model,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,Inference Time,Model Size,Memory Usage,TOPSIS Score
GPT-2 Small,0.5,0.5,0.5,0.5,6.228094220161438,0.081912576,162.431640625,0.7822558959011328
GPT-2,0.009034514419187041,0.016129032258064516,0.00819672131147541,0.016129032258064516,9.226940035820007,0.124439808,0.255859375,0.26725335456179583
GPT-2 Medium,0.01135133015478723,0.01886792452830189,0.009615384615384614,0.01886792452830189,26.02961766719818,0.354823168,0.255859375,0.21852130325068736
